1 SEED
0 INIT_TIME
500000 FIN_TIME
10 ARRIVE_MIN
500 ARRIVE_MAX
0.2 QUIT_PROB
10 CPU_MIN
100 CPU_MAX
10 DISK1_MIN
100 DISK1_MAX
10 DISK2_MIN
100 DISK2_MAX
At time 0, Job 1 enters the CPU.
At time 70179, Job 149 arrives.
At time 70179, Job 149 enters the CPU.
At time 70273, Job 149 finishes at CPU.
At time 70273, Job 149 arrives at Disk 1.
At time 70650, Job 150 arrives.
At time 70650, Job 150 enters the CPU.
At time 70744, Job 150 finishes at CPU.
At time 70744, Job 150 arrives at Disk 2.
At time 71121, Job 151 arrives.
At time 71121, Job 151 enters the CPU.
At time 71215, Job 151 finishes at CPU.
At time 71215, Job 151 arrives at Disk 1.
At time 71592, Job 152 arrives.
At time 71592, Job 152 enters the CPU.
At time 71686, Job 152 finishes at CPU.
At time 71686, Job 152 arrives at Disk 2.
At time 72063, Job 153 arrives.
At time 72063, Job 153 enters the CPU.
At time 72157, Job 153 finishes at CPU.
At time 72157, Job 153 arrives at Disk 1.
At time 72534, Job 154 arrives.
At time 72534, Job 154 enters the CPU.
At time 72628, Job 154 finishes at CPU.
At time 72628, Job 154 arrives at Disk 2.
At time 73005, Job 155 arrives.
At time 73005, Job 155 enters the CPU.
At time 73099, Job 155 finishes at CPU.
At time 73099, Job 155 arrives at Disk 1.
At time 73476, Job 156 arrives.
At time 73476, Job 156 enters the CPU.
At time 73570, Job 156 finishes at CPU.
At time 73570, Job 156 arrives at Disk 2.
At time 73947, Job 157 arrives.
At time 73947, Job 157 enters the CPU.
At time 74041, Job 157 finishes at CPU.
At time 74041, Job 157 arrives at Disk 1.
At time 74418, Job 158 arrives.
At time 74418, Job 158 enters the CPU.
At time 74512, Job 158 finishes at CPU.
At time 74512, Job 158 arrives at Disk 2.
At time 74889, Job 159 arrives.
At time 74889, Job 159 enters the CPU.
At time 74983, Job 159 finishes at CPU.
At time 74983, Job 159 arrives at Disk 1.
At time 75360, Job 160 arrives.
At time 75360, Job 160 enters the CPU.
At time 75454, Job 160 finishes at CPU.
At time 75454, Job 160 arrives at Disk 2.
At time 75831, Job 161 arrives.
At time 75831, Job 161 enters the CPU.
At time 75925, Job 161 finishes at CPU.
At time 75925, Job 161 arrives at Disk 1.
At time 76302, Job 162 arrives.
At time 76302, Job 162 enters the CPU.
At time 76396, Job 162 finishes at CPU.
At time 76396, Job 162 arrives at Disk 2.
At time 76773, Job 163 arrives.
At time 76773, Job 163 enters the CPU.
At time 76867, Job 163 finishes at CPU.
At time 76867, Job 163 arrives at Disk 1.
At time 77244, Job 164 arrives.
At time 77244, Job 164 enters the CPU.
At time 77338, Job 164 finishes at CPU.
At time 77338, Job 164 arrives at Disk 2.
At time 77715, Job 165 arrives.
At time 77715, Job 165 enters the CPU.
At time 77809, Job 165 finishes at CPU.
At time 77809, Job 165 arrives at Disk 1.
At time 78186, Job 166 arrives.
At time 78186, Job 166 enters the CPU.
At time 78280, Job 166 finishes at CPU.
At time 78280, Job 166 arrives at Disk 2.
At time 78657, Job 167 arrives.
At time 78657, Job 167 enters the CPU.
At time 78751, Job 167 finishes at CPU.
At time 78751, Job 167 arrives at Disk 1.
At time 79128, Job 168 arrives.
At time 79128, Job 168 enters the CPU.
At time 79222, Job 168 finishes at CPU.
